id,year,Q
117,2015,-0.561
118,2006,0.598
118,2007,0.719
118,2008,1.299
118,2009,0.843
118,2010,1.083
118,2011,0.868
118,2012,1.118
118,2013,0.99
118,2014,-0.204
118,2015,-1.423
119,2006,0.629
119,2007,0.7
119,2008,1.187
119,2009,0.649
119,2010,0.677
119,2011,0.774
119,2012,1.186
119,2013,0.851
119,2014,0.54
119,2015,-0.845
120,2006,0.771
120,2007,0.537
120,2008,0.729
120,2009,0.631
120,2010,0.479
120,2011,0.251
120,2012,1.23
120,2013,0.653
120,2014,0.236
120,2015,-0.966
121,2006,0.409
121,2007,0.504
121,2008,1.197
121,2009,0.462
121,2010,0.509
121,2011,0.493
121,2012,0.75
121,2013,0.478
121,2014,0.452
121,2015,-1.346
122,2006,0.349
122,2007,0.339
122,2008,1.329
122,2009,-0.121
122,2010,0.524
122,2011,-0.1
122,2012,0.309
122,2013,0.318
122,2014,0.129
122,2015,-1.928
123,2006,0.603
123,2007,0.839
123,2008,0.951
123,2009,0.034
123,2010,0.54
123,2011,0.021
123,2012,0.364
123,2013,0.795
123,2014,0.17
123,2015,-1.946
124,2006,0.602
124,2007,0.84
124,2008,0.951
124,2009,0.034
124,2010,0.54
124,2011,0.022
124,2012,0.365
124,2013,0.795
124,2014,0.171
124,2015,-1.946
125,2006,0.988
125,2007,0.737
125,2008,0.996
125,2009,0.009
125,2010,0.551
125,2011,0.244
125,2012,0.235
125,2013,0.981
125,2014,0.123
125,2015,-1.38
126,2006,1.41
126,2007,1.588
126,2008,1.25
126,2009,0.519
126,2010,0.466
126,2011,0.481
126,2012,0.573
126,2013,1.564
126,2014,0.74
126,2015,-1.523
127,2006,1.405
127,2007,1.593
127,2008,1.258
127,2009,0.521
127,2010,0.469
127,2011,0.478
127,2012,0.582
127,2013,1.571
127,2014,0.738
127,2015,-1.522
128,2006,1.359
128,2007,0.601
128,2008,0.218
128,2009,0.88
128,2010,-0.475
128,2011,0.515
128,2012,0.983
128,2013,0.925
128,2014,0.987
128,2015,-1.449
129,2006,1.519
129,2007,0.374
129,2008,0.068
129,2009,0.191
129,2010,-0.053
129,2011,0.087
129,2012,0.534
129,2013,0.992
129,2014,1.116
129,2015,-0.534
130,2006,-0.922
130,2007,0.093
130,2008,0.117
130,2009,0.378
130,2010,1.2
130,2011,-0.7
130,2012,-0.112
130,2013,1.2
130,2014,-0.536
130,2015,-1.177
131,2006,-0.67
131,2007,-0.144
131,2008,0.364
131,2009,-0.115
131,2010,1.274
131,2011,-0.366
131,2012,-0.159
131,2013,1.004
131,2014,-0.583
131,2015,-1.826
132,2006,-0.876
132,2007,-0.455
132,2008,-0.085
132,2009,-0.827
132,2010,1.673
132,2011,-0.442
132,2012,-0.32
132,2013,1.006
132,2014,-0.645
132,2015,-1.573
133,2006,-0.836
133,2007,-0.935
133,2008,-0.38
133,2009,-0.91
133,2010,1.576
133,2011,-0.39
133,2012,-0.592
133,2013,0.796
133,2014,-0.599
133,2015,-1.437
134,2006,-0.685
134,2007,-0.944
134,2008,-0.306
134,2009,-0.864
134,2010,1.644
134,2011,-0.532
134,2012,-0.66
134,2013,0.677
134,2014,-0.648
134,2015,-1.26
135,2006,-0.775
135,2007,0.034
135,2008,0.548
135,2009,-0.978
135,2010,2.309
135,2011,0.407
135,2012,-0.86
135,2013,0.828
135,2014,-0.396
135,2015,-0.913
136,2006,-0.692
136,2007,0.75
136,2008,0.61
136,2009,-0.549
136,2010,2.385
136,2011,-0.735
136,2012,-0.059
136,2013,1.113
136,2014,0.221
136,2015,-0.373
137,2006,0.006
137,2007,0.554
137,2008,0.737
137,2009,0.007
137,2010,0.91
137,2011,0.627
137,2012,0.922
137,2013,0.755
137,2014,0.496
137,2015,-0.451
138,2006,-0.012
138,2007,0.521
138,2008,0.626
138,2009,-0.109
138,2010,0.649
138,2011,0.585
138,2012,0.867
138,2013,0.832
138,2014,0.545
138,2015,-0.528
139,2006,0.403
139,2007,0.651
139,2008,1.138
139,2009,0.61
139,2010,1.069
139,2011,0.882
139,2012,0.978
139,2013,0.827
139,2014,0.332
139,2015,-0.51
140,2006,0.55
140,2007,0.625
140,2008,1.205
140,2009,0.67
140,2010,1.09
140,2011,0.92
140,2012,0.806
140,2013,0.886
140,2014,0.267
140,2015,-0.042
141,2006,0.681
141,2007,0.63
141,2008,1.069
141,2009,0.511
141,2010,0.927
141,2011,0.677
141,2012,0.678
141,2013,0.701
141,2014,0.377
141,2015,0.109
142,2006,0.723
142,2007,0.401
142,2008,1.506
142,2009,0.818
142,2010,0.559
142,2011,1.086
142,2012,1.162
142,2013,1.061
142,2014,0.856
142,2015,-0.07
143,2006,0.879
143,2007,0.461
143,2008,0.879
143,2009,0.756
143,2010,0.741
143,2011,0.663
143,2012,1.077
143,2013,0.886
143,2014,0.599
143,2015,-0.772
144,2006,0.85
144,2007,0.438
144,2008,0.452
144,2009,0.717
144,2010,0.56
144,2011,0.29
144,2012,1.227
144,2013,0.708
144,2014,0.39
144,2015,-0.581
145,2006,0.768
145,2007,0.456
145,2008,0.753
145,2009,0.268
145,2010,-0.185
145,2011,0.205
145,2012,0.809
145,2013,0.749
145,2014,0.832
145,2015,-1.387
146,2006,0.785
146,2007,0.481
146,2008,0.599
146,2009,0.294
146,2010,-0.167
146,2011,0.222
146,2012,0.744
146,2013,0.707
146,2014,0.727
146,2015,-1.373
147,2006,0.795
147,2007,0.723
147,2008,0.789
147,2009,0.051
147,2010,0.56
147,2011,0.015
147,2012,0.043
147,2013,0.908
147,2014,-0.079
147,2015,-1.872
148,2006,0.971
148,2007,0.635
148,2008,0.545
148,2009,-0.153
148,2010,0.228
148,2011,0.03
148,2012,0.203
148,2013,0.913
148,2014,0.128
148,2015,-0.996
149,2006,1.119
149,2007,0.791
149,2008,0.508
149,2009,0.212
149,2010,0.076
